county_fips,risk_score,expected_annual_loss_score,social_vulnerability_score,community_resilience_score,hazard_specific_mean_score
05083,48.18702290076336,43.224009900990104,65.71246819,22.83715012722646,222599.33127619364
05085,75.09541984732824,80.35272277227723,17.46183206,37.340966921119595,902614.3308456745
05087,45.06997455470738,41.05816831683168,63.45419847,21.978371501272264,202393.68448515356
05089,47.96437659033079,34.25123762376238,89.3129771,12.881679389312978,188903.76017782756
05091,70.83333333333334,61.01485148514851,84.25572519,31.234096692111958,592850.282460479
05093,89.2175572519084,84.3131188118812,89.98091603,36.73664122137404,2089759.8391661216
05095,36.51399491094148,24.659653465346533,90.99872774,43.70229007633588,250059.71764658828
05097,30.693384223918574,15.748762376237623,96.59669211,5.947837150127226,88683.49198219902
05099,30.56615776081425,16.120049504950494,98.53689567,15.585241730279897,104947.80990081812
05101,18.447837150127228,8.446782178217822,96.21501272,12.27735368956743,111517.57901384211
05103,51.20865139949109,36.60272277227723,94.78371501,36.83206106870229,253551.58446865305
05105,28.053435114503817,23.700495049504948,66.57124682,21.374045801526716,143127.12248674323
05107,61.67302798982188,46.9059405940594,98.7913486,46.0559796437659,486448.5007614603
05109,26.55852417302799,20.14232673267327,71.5648855,10.814249363867685,113828.49510827429
05111,72.51908396946564,67.20297029702971,68.38422392,27.353689567430024,891445.6663879789
05113,46.11959287531807,34.62252475247525,84.00127226,11.577608142493638,194177.2858055609
05115,77.83078880407125,78.99133663366337,36.76844784,58.96946564885496,804496.7813092532
05117,41.38040712468193,30.754950495049506,83.11068702,24.141221374045802,227762.81279489762
05119,96.78753180661577,95.97772277227723,61.2913486,80.1526717557252,4779596.694498429
05121,66.98473282442748,61.293316831683164,67.68447837,13.39058524173028,669395.7385488014
05123,74.74554707379136,58.694306930693074,99.01399491,11.641221374045802,801412.8824918157
05125,77.63994910941476,80.16707920792079,29.07124682,54.51653944020356,842935.558247574
05127,26.84478371501272,26.144801980198018,49.80916031,3.689567430025445,93980.58138494656
05129,27.735368956743002,19.121287128712872,83.61959288,28.56234096692112,108298.23429800455
05131,86.80025445292621,85.86014851485149,48.88676845,38.83587786259542,1203621.658715015
05133,64.94910941475827,47.49381188118812,95.73791349,3.816793893129771,180860.53590358704
05135,68.06615776081425,52.382425742574256,95.22900763,8.0470737913486,342600.1169810012
05137,49.87277353689568,36.07673267326732,85.8778626,2.480916030534351,196065.75648728732
05139,53.88040712468194,44.275990099009896,84.70101781,56.583969465648856,271367.17433654657
05141,50.57251908396947,35.086633663366335,93.09796438,10.241730279898219,247785.9133072555
05143,92.27099236641222,93.06930693069307,28.49872774,35.08269720101781,3049675.0651294678
05145,85.71882951653944,84.09653465346535,55.18447837,36.959287531806616,1283858.401532586
05147,42.270992366412216,28.527227722772274,93.67048346,37.531806615776084,260895.5645541929
05149,58.93765903307888,50.433168316831676,77.63994911,24.71374045801527,297000.2494253992
06001,99.77735368956743,99.75247524752476,27.48091603,91.15776081424937,46431767.43547497
06003,10.559796437659033,12.19059405940594,44.08396947,53.912213740458014,62601.83477261502
06005,79.19847328244275,79.11509900990099,43.89312977,35.273536895674305,1007603.9595635812
06007,93.92493638676844,92.79084158415841,59.03307888,60.40076335877863,3400933.8072047653
06009,86.60941475826972,84.62252475247524,57.91984733,39.47201017811705,1632301.6013538402
06011,81.13867684478372,80.01237623762376,49.45928753,25.38167938931298,1553220.4474467402
06013,99.49109414758269,99.62871287128714,21.46946565,67.8117048346056,18326992.86218748
06015,94.43384223918575,93.8118811881188,53.59414758,23.791348600508904,4941079.246448936
06017,91.41221374045801,92.66707920792079,18.12977099,67.04834605597965,2572331.875727236
06019,99.30025445292621,99.19554455445545,60.30534351,16.571246819338423,17172626.18667126
06021,74.42748091603053,80.25990099009901,14.75826972,15.108142493638677,1321914.5195396102
06023,96.7557251908397,95.35891089108911,74.68193384,56.39312977099237,5165014.483521662
06025,96.46946564885496,94.05940594059405,85.14631043,2.4173027989821882,4653537.370635193
06027,79.32569974554707,70.97772277227723,83.58778626,25.890585241730278,871574.2492136594
06029,98.88676844783714,98.73143564356435,61.06870229,6.520356234096693,11904443.290756637
06031,92.43002544529261,90.34653465346535,65.68066158,7.6653944020356235,3533413.7236552685
06033,93.00254452926208,90.71782178217822,70.61068702,24.459287531806613,2145815.8305240413
06035,73.09160305343512,68.16212871287128,69.27480916,56.55216284987278,561042.2894725162
06037,100.0,100.0,55.37531807,13.549618320610687,172620862.4616094
06039,96.43765903307889,94.55445544554455,78.72137405,7.697201017811704,5490902.056648733
06041,96.37404580152672,96.875,24.71374046,99.17302798982189,4684064.97899301
06043,86.41857506361323,78.6509900990099,92.97073791,21.310432569974555,1381342.145320008
06045,94.3384223918575,92.04826732673267,76.84478372,38.963104325699746,2270466.6175123123
06047,96.85114503816794,95.79207920792079,61.73664122,7.251908396946565,6474461.382873242
06049,39.69465648854962,34.49876237623762,66.82569975,21.81933842239186,236206.15490197376
06051,46.50127226463104,54.42450495049505,23.34605598,65.64885496183206,322198.55015375174
06053,98.72773536895674,98.66955445544554,54.8346056,24.650127226463102,11369416.806600317
06055,95.26081424936386,95.29702970297029,38.5178117,76.0178117048346,3280596.6514553907
06057,89.8854961832061,88.89232673267327,43.51145038,65.33078880407125,1715324.2833392045
06059,99.80916030534351,99.78341584158416,24.93638677,16.316793893129773,36489727.907545
06061,93.06615776081425,94.58539603960396,16.57124682,83.5559796437659,1864439.080996356
06063,86.38676844783714,80.32178217821783,91.41221374,69.72010178117048,918855.3569472653
06065,99.90458015267176,99.9381188118812,33.33333333,13.040712468193385,41853896.35650996
06067,98.1234096692112,98.20544554455446,37.43638677,56.99745547073791,5113200.202238159
06069,85.24173027989822,88.83044554455446,10.62340967,55.94783715012722,2496972.8205886474
06071,99.84096692111959,99.84529702970298,33.20610687,20.06997455470738,40330920.22503193
06073,99.71374045801527,99.69059405940595,24.80916031,8.301526717557252,27300598.381989148
06075,99.52290076335878,99.59777227722772,48.05979644,99.6501272264631,23569089.52322483
06077,98.60050890585241,98.79331683168317,39.66284987,47.01017811704835,11729022.649436107
06079,95.8969465648855,96.16336633663366,32.76081425,93.92493638676844,3743926.2189448513
06081,99.23664122137404,99.4430693069307,20.51526718,97.58269720101781,18606355.005412206
06083,98.9821882951654,98.94801980198021,60.24173028,60.909669211195926,9355565.978547104
06085,99.74554707379136,99.81435643564357,17.23918575,72.6145038167939,40281686.84956732
06087,97.80534351145039,98.05074257425743,28.08524173,71.0559796437659,8322481.79558324
06089,93.38422391857506,93.44059405940595,41.1259542,47.70992366412214,2633421.81685235
06091,31.520356234096692,28.310643564356436,63.23155216,31.361323155216287,204758.7338364897
06093,89.02671755725191,85.61262376237624,79.35750636,44.783715012722645,1165645.4868324422
06095,97.01017811704835,97.52475247524752,25.19083969,71.81933842239185,5001548.433879285
06097,99.07760814249363,99.22648514851485,29.77099237,66.22137404580153,10796770.101052018
06099,96.88295165394402,97.02970297029702,32.02926209,33.9058524173028,6911965.132570395
06101,83.7150127226463,81.86881188118812,57.2519084,41.66666666666667,1414494.0621190707
06103,88.89949109414759,87.65470297029702,52.92620865,27.29007633587786,1451174.4402023864
06105,79.45292620865139,71.65841584158416,82.56997455,37.02290076335878,711528.6722855982
06107,97.04198473282443,96.19430693069307,61.86386768,8.015267175572518,3635434.7552224174
06109,85.20992366412213,83.9108910891089,53.4351145,49.10941475826972,1360482.9125580364
06111,99.39567430025446,99.5049504950495,29.77099237,33.5559796437659,15034673.707316779
06113,91.38040712468194,92.01732673267327,24.20483461,69.43384223918575,2924698.1634413465
06115,80.88422391857506,82.36386138613861,30.4389313,36.60941475826972,865236.9783492291
08001,91.18956743002545,93.10024752475248,12.18193384,46.087786259541986,3436249.5668048607
08003,40.36259541984733,26.175742574257427,93.25699746,26.84478371501272,216413.5207639896
